Orders,Orders
Push,Push
"Manage Orders","Manage Orders"
"Delivery Scheduled for: %1 period: %2","Delivery Scheduled for: %1 period: %2"
"You can't create an shipment.","You can't create an shipment."
None,None
"Lower Price","Lower Price"
"Lower Delivery Date","Lower Delivery Date"
" --- Please Select --- "," --- Please Select --- "
"-- Empty --","-- Empty --"
Centimetre,Centimetre
Metre,Metre
Product,Product
Cart,Cart
Gram,Gram
Kilo,Kilo
Height,Height
Width,Width
Length,Length
"Select the Day in the Calendar below for Scheduled Delivery:","Select the Day in the Calendar below for Scheduled Delivery:"
Morning,Morning
Afternoon,Afternoon
Carrier,Carrier
Price,Price
"Please fill the zipcode field!","Please fill the zipcode field!"
Failure,Failure
"Calculating ...","Calculating ..."
"Calculate the freight and delivery time:","Calculate the freight and delivery time:"
Postcode,Postcode
Calculate,Calculate
"Ship To:","Ship To:"
edit,edit
"Shipping Method:","Shipping Method:"
"Field ","Field "
" is required."," is required."
Intelipost,Intelipost
"General Settings.","General Settings."
Enabled,Enabled
"API Key","API Key"
"Key for API","Key for API"
"Use Default Source","Use Default Source"
"Source Zip","Source Zip"
"Federal tax payer id","Federal tax payer id"
"Select CPF attribute","Select CPF attribute"
"Add Product Page Shipping","Add Product Page Shipping"
"Send Orders to Intelipost","Send Orders to Intelipost"
"If enabled it'll send order automatically to Intelipost","If enabled it'll send order automatically to Intelipost"
"Send orders to Intelipost by cron","Send orders to Intelipost by cron"
"Status to Create Orders on Intelipost","Status to Create Orders on Intelipost"
"If enabled, it'll create an order on Intelipost when the order are in one of these status","If enabled, it'll create an order on Intelipost when the order are in one of these status"
"Create Shipment","Create Shipment"
"Status to mark order as Ready to Ship","Status to mark order as Ready to Ship"
"When an order is in one of the status above, it'll mark the order as ready to ship","When an order is in one of the status above, it'll mark the order as ready to ship"
"Ready to Ship Status","Ready to Ship Status"
"Status to Shipped Order","Status to Shipped Order"
"When an order is in one of the status above, it'll mark the order as shipped","When an order is in one of the status above, it'll mark the order as shipped"
"Shipped Status","Shipped Status"
Quote,Quote
Quotes,Quotes
"Display Settings","Display Settings"
Title,Title
"Custom Title","Custom Title"
"Same Day Title","Same Day Title"
"Scheduled Title","Scheduled Title"
"Sort Scheduled as last?","Sort Scheduled as last?"
"Estimate Delivery Date","Estimate Delivery Date"
"Add Days to Quote","Add Days to Quote"
"Display Scheduled Delivery Only at Checkout","Display Scheduled Delivery Only at Checkout"
"Unit of measurement","Unit of measurement"
"Weight Unit","Weight Unit"
"Default Weight","Default Weight"
"Dimension Type","Dimension Type"
"Height Attribute","Height Attribute"
"Default Height","Default Height"
"Width Attribute","Width Attribute"
"Default Width","Default Width"
"Length Attribute","Length Attribute"
"Default Length","Default Length"
"Free Shipping Conditions","Free Shipping Conditions"
"Free Shipping Method","Free Shipping Method"
"Free Shipping Text","Free Shipping Text"
"Tracking and Statuses","Tracking and Statuses"
"Enable Webhook","Enable Webhook"
"Create Shipment Automatically when an order is picked up","Create Shipment Automatically when an order is picked up"
"Notify Customer for each new order update","Notify Customer for each new order update"
"Track pre shipment events?","Track pre shipment events?"
"Status for Order Created on Intelipost","Status for Order Created on Intelipost"
"Ready For Shipment Status","Ready For Shipment Status"
"Status Shipped","Status Shipped"
"Intelipost Delivered","Intelipost Delivered"
"Status for Delivery Failed","Status for Delivery Failed"
"Status for Clarify Delivery Failed","Status for Clarify Delivery Failed"
"System Conditions","System Conditions"
"Cache Expiration Time","Cache Expiration Time"
"Displayed Error Message","Displayed Error Message"
"Delivery for Risk Areas","Delivery for Risk Areas"
"Risk Area Message","Risk Area Message"
"Break On Error","Break On Error"
"Value On Zero","Value On Zero"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
Debug,Debug
"Sort Order","Sort Order"
"Create Orders","Create Orders"
"Ship Orders","Ship Orders"
"Order ID","Order ID"
"Order Number","Order Number"
Description,Description
"Delivery Method Name","Delivery Method Name"
"Provider Shipping Costs","Provider Shipping Costs"
"Customer Shipping Costs","Customer Shipping Costs"
"Quote Id","Quote Id"
"Intelipost Status","Intelipost Status"
"Tracking Code","Tracking Code"
"Intelipost Message","Intelipost Message"
"In order to use our module, you need Intelipost Credentials and a valid Intelipost account","In order to use our module, you need Intelipost Credentials and a valid Intelipost account"
